District,Crop,Season,Year,Area_Cultivated,Rainfall,Temperature,Population,Production,Demand
Guntur,Cotton,Summer,2017,4898,900.69,25.64,2100000,3902.37,24988.08
YSR Kadapa,Groundnut,Summer,2020,18219,1174.72,28.55,3300000,25273.28,80200.56
Kurnool,Maize,Summer,2016,5154,1049.23,24.48,4200000,15487.8,216938.04
Sri Potti Sriramulu Nellore,Sugarcane,Summer,2019,36546,543.75,30.57,3100000,2920401.58,550660.26
Anantapur,Rice,Rabi,2020,14809,684.69,26.92,3300000,36464.17,421711.17
YSR Kadapa,Groundnut,Summer,2013,26972,514.55,29.83,3300000,39430.24,52822.27
Krishna,Chilies,Rabi,2016,40177,303.78,25.59,4200000,86745.61,21632.14
Vizianagaram,Maize,Kharif,2022,13523,469.24,22.86,3300000,51843.21,157184.08
Prakasam,Chilies,Summer,2019,38081,303.65,34.47,3300000,59080.8,17687.56
Anantapur,Maize,Kharif,2015,23030,947.85,32.26,3300000,107499.43,167951.46
Guntur,Maize,Rabi,2020,41376,682.98,27.45,2100000,148021.21,135759.96
Kurnool,Sugarcane,Rabi,2015,21105,581.32,22.76,4200000,1153593.67,825001.16
Chittoor,Sugarcane,Kharif,2011,47485,985.55,35.85,2000000,3424198.63,477010.1
Visakhapatnam,Sugarcane,Summer,2017,25295,1049.24,24.72,3600000,1259822.67,805708.3
Krishna,Cotton,Summer,2017,12864,1177.77,36.89,4200000,9204.84,57151.09
Vizianagaram,Maize,Kharif,2023,44982,877.81,29.66,3300000,206986.55,181444.68
Visakhapatnam,Groundnut,Kharif,2020,13876,715.38,27.45,3600000,25968.1,101139.35
Anantapur,Chilies,Kharif,2016,19055,574.74,33.87,3300000,40207.44,13201.68
Kurnool,Sugarcane,Summer,2020,34684,500.09,36.03,4200000,2016516.89,1027643.78
Kurnool,Sugarcane,Summer,2018,22972,491.63,27.93,4200000,1337889.43,677766.51
YSR Kadapa,Chilies,Summer,2017,26493,668.27,28.52,3300000,56288.25,21445.94
Guntur,Chilies,Kharif,2023,10325,1192.61,28.93,2100000,19494.78,10126.68
YSR Kadapa,Maize,Summer,2018,37775,300.77,36.76,3300000,121840.78,175887.83
Srikakulam,Sugarcane,Rabi,2018,21373,477.49,33.08,3000000,1754096.55,639783.76
Guntur,Chilies,Kharif,2015,37253,469.55,25.96,2100000,61105.78,14621.2
Srikakulam,Cotton,Summer,2011,22181,945.41,24.96,3000000,15845.83,26143.95
YSR Kadapa,Cotton,Kharif,2021,11961,617.24,25.69,3300000,7050.84,41805.32
Srikakulam,Sugarcane,Rabi,2016,18705,711.53,26.22,3000000,1467549.95,892127.87
Krishna,Chilies,Rabi,2012,45676,433.76,25.68,4200000,79034.71,17129.05
YSR Kadapa,Maize,Kharif,2022,37122,664.5,32.54,3300000,124688.37,243560.78
Guntur,Maize,Kharif,2016,27104,392.88,23.85,2100000,95624.54,85352.75
West Godavari,Maize,Rabi,2018,14509,779.74,28.2,4300000,71063.82,298592.99
YSR Kadapa,Rice,Kharif,2019,8101,388.14,32.0,3300000,28660.03,486047.46
Chittoor,Sugarcane,Rabi,2023,5743,1011.46,26.65,2000000,319489.74,598047.67
Vizianagaram,Maize,Rabi,2019,9951,809.94,23.04,3300000,46359.26,185028.51
East Godavari,Cotton,Summer,2011,8014,951.57,23.31,2100000,5289.7,29544.28
East Godavari,Chilies,Kharif,2023,37180,676.66,24.02,2100000,70455.04,9299.2
Guntur,Groundnut,Kharif,2022,42908,643.34,35.37,2100000,66990.9,46106.3
Guntur,Groundnut,Summer,2015,44039,388.39,32.53,2100000,69405.4,42654.46
Visakhapatnam,Maize,Rabi,2022,9219,771.47,23.03,3600000,27340.58,193792.31
Vizianagaram,Groundnut,Kharif,2015,8163,763.05,28.26,3300000,14718.9,85231.52
Vizianagaram,Groundnut,Summer,2018,3470,721.29,26.46,3300000,5140.76,56841.59
Krishna,Rice,Summer,2022,44498,966.47,31.25,4200000,201462.36,629460.2
Guntur,Cotton,Kharif,2018,17543,1049.25,30.36,2100000,15865.4,26135.49
Vizianagaram,Cotton,Summer,2022,20276,975.71,29.7,3300000,21014.72,46578.26
Visakhapatnam,Rice,Rabi,2014,37881,429.48,27.03,3600000,128882.45,497083.28
Srikakulam,Rice,Summer,2023,14414,859.85,24.2,3000000,39575.67,400859.48
Kurnool,Groundnut,Rabi,2014,8749,372.29,33.88,4200000,14913.36,69506.34
Kurnool,Sugarcane,Rabi,2018,25182,925.16,36.08,4200000,2056511.5,975682.64
Srikakulam,Chilies,Kharif,2017,12914,643.66,37.11,3000000,31295.82,15445.56
Prakasam,Chilies,Summer,2016,16007,419.25,22.94,3300000,28200.15,14504.45
Visakhapatnam,Groundnut,Rabi,2017,31951,1075.85,33.84,3600000,48233.73,74886.71
Vizianagaram,Chilies,Rabi,2015,45691,852.61,33.62,3300000,110983.74,20647.48
West Godavari,Rice,Summer,2012,33608,619.25,37.15,4300000,143369.92,413418.56
Visakhapatnam,Cotton,Rabi,2016,22383,327.65,26.05,3600000,12810.42,40003.8
YSR Kadapa,Chilies,Summer,2017,14042,783.58,33.87,3300000,30964.02,17871.91
Srikakulam,Groundnut,Kharif,2017,26412,1130.9,22.87,3000000,42035.19,50203.44
Chittoor,Sugarcane,Rabi,2010,14181,836.74,32.1,2000000,744505.15,495863.11
Sri Potti Sriramulu Nellore,Groundnut,Rabi,2016,45898,1174.49,27.61,3100000,86615.15,76457.96
Anantapur,Maize,Summer,2012,4405,422.81,34.3,3300000,17042.48,243620.88
Srikakulam,Groundnut,Summer,2011,31868,811.47,35.81,3000000,52799.92,60516.22
West Godavari,Rice,Summer,2023,11862,1018.31,27.84,4300000,51052.57,470104.26
Vizianagaram,Cotton,Summer,2011,29688,772.99,30.41,3300000,18479.54,35724.03
West Godavari,Cotton,Rabi,2023,49017,381.96,23.88,4300000,47585.93,62084.29
West Godavari,Chilies,Kharif,2023,31945,824.6,28.67,4300000,72488.53,23350.17
Guntur,Rice,Kharif,2017,13939,850.56,27.77,2100000,58727.01,233086.33
Guntur,Maize,Kharif,2018,47735,955.84,24.93,2100000,190348.36,102547.32
Krishna,Rice,Kharif,2012,29931,985.09,36.31,4200000,75435.64,336343.44
Srikakulam,Groundnut,Summer,2023,39616,993.7,24.37,3000000,65503.64,52638.93
Krishna,Rice,Rabi,2012,40585,897.1,32.17,4200000,131354.09,542943.41
Srikakulam,Rice,Rabi,2015,39911,494.23,36.24,3000000,131509.67,383324.07
Visakhapatnam,Maize,Rabi,2020,48277,663.81,36.59,3600000,186302.36,184638.85
Anantapur,Groundnut,Summer,2019,43826,998.52,34.69,3300000,65459.33,74652.89
West Godavari,Sugarcane,Rabi,2010,42164,1158.08,24.82,4300000,3238247.39,867021.79
Visakhapatnam,Sugarcane,Summer,2015,23942,371.05,35.08,3600000,1903977.46,944381.86
Sri Potti Sriramulu Nellore,Cotton,Rabi,2021,45539,781.98,26.43,3100000,42482.62,43082.24
Kurnool,Chilies,Kharif,2012,6272,581.27,36.76,4200000,13835.58,30016.85
East Godavari,Rice,Summer,2020,45134,502.85,33.35,2100000,186733.2,193559.08
YSR Kadapa,Cotton,Rabi,2013,25265,755.23,34.56,3300000,15629.73,42454.89
Srikakulam,Maize,Kharif,2018,49192,845.48,23.36,3000000,236532.96,221115.49
Sri Potti Sriramulu Nellore,Sugarcane,Kharif,2012,29668,308.8,31.32,3100000,1936303.43,778365.48
Kurnool,Rice,Kharif,2010,47196,1002.19,35.14,4200000,168038.1,439186.4
Vizianagaram,Maize,Summer,2012,17024,1037.89,35.79,3300000,65390.39,205451.81
Prakasam,Chilies,Summer,2016,32899,1168.96,22.46,3300000,64839.34,21151.32
Anantapur,Maize,Rabi,2022,4747,462.58,37.03,3300000,16543.42,177858.96
Krishna,Rice,Kharif,2016,10297,835.1,22.69,4200000,28902.62,366573.34
Krishna,Chilies,Rabi,2020,2607,683.96,31.83,4200000,3977.95,25717.9
Visakhapatnam,Maize,Rabi,2014,22458,601.35,33.09,3600000,87212.44,245069.74
Guntur,Chilies,Kharif,2023,28973,809.07,23.72,2100000,44917.22,15732.19
Kurnool,Rice,Rabi,2010,24117,1004.14,22.77,4200000,71494.26,401579.14
Prakasam,Rice,Summer,2020,17450,320.75,34.56,3300000,47648.85,425789.85
Sri Potti Sriramulu Nellore,Chilies,Rabi,2017,16535,1172.46,28.15,3100000,25314.18,12704.27
Anantapur,Groundnut,Kharif,2019,30355,1028.89,23.71,3300000,55981.15,97605.93
Kurnool,Cotton,Summer,2017,8645,976.04,34.2,4200000,7638.14,33969.4
Prakasam,Maize,Summer,2019,43238,984.35,35.59,3300000,216925.99,173440.82
East Godavari,Maize,Rabi,2021,5158,650.15,31.4,2100000,22414.76,89615.6
Srikakulam,Groundnut,Rabi,2019,42773,976.46,24.58,3000000,77400.14,74080.65
Krishna,Groundnut,Summer,2022,17786,648.09,22.24,4200000,27564.19,87162.59
Sri Potti Sriramulu Nellore,Groundnut,Rabi,2019,41693,1108.84,33.21,3100000,61137.24,81409.77
Krishna,Sugarcane,Kharif,2011,31911,459.5,30.8,4200000,2271937.18,957990.3
Sri Potti Sriramulu Nellore,Sugarcane,Rabi,2019,27578,563.11,32.41,3100000,1722231.5,678021.08
Visakhapatnam,Chilies,Rabi,2012,47408,796.2,35.01,3600000,103802.99,18791.31
Guntur,Sugarcane,Summer,2013,5166,587.29,28.95,2100000,447795.83,361321.98
Sri Potti Sriramulu Nellore,Rice,Rabi,2010,20309,681.81,23.99,3100000,83123.56,292446.99
Krishna,Chilies,Rabi,2013,16076,743.18,37.04,4200000,31418.93,26194.81
Visakhapatnam,Maize,Rabi,2014,20377,1070.72,30.72,3600000,103706.82,206590.71
Sri Potti Sriramulu Nellore,Cotton,Kharif,2012,10278,770.87,31.84,3100000,10617.21,26320.94
East Godavari,Rice,Rabi,2023,34539,626.21,36.93,2100000,120386.07,247960.9
Guntur,Maize,Kharif,2020,12440,522.96,36.91,2100000,60646.69,87979.49
Sri Potti Sriramulu Nellore,Maize,Kharif,2019,27245,667.81,31.15,3100000,76597.92,179522.37
Visakhapatnam,Chilies,Kharif,2011,23097,764.16,26.76,3600000,34183.25,26558.51
Vizianagaram,Groundnut,Kharif,2022,9167,971.5,37.95,3300000,9810.07,66999.32
Kurnool,Groundnut,Summer,2015,2556,408.94,32.89,4200000,4462.38,109741.98
Chittoor,Rice,Kharif,2017,44918,499.45,28.53,2000000,117574.49,264377.29
Prakasam,Groundnut,Rabi,2016,2151,641.69,30.96,3300000,2291.56,71504.51
Chittoor,Maize,Kharif,2020,22698,624.36,28.65,2000000,71585.07,121530.45
Vizianagaram,Groundnut,Rabi,2023,18601,652.57,36.21,3300000,24658.7,74608.53
Chittoor,Sugarcane,Kharif,2010,27807,1014.17,29.72,2000000,1905264.14,399341.65
Vizianagaram,Groundnut,Summer,2013,46302,591.74,35.18,3300000,51342.57,87669.08
Anantapur,Maize,Kharif,2012,21328,751.71,35.44,3300000,85259.9,213176.47
Vizianagaram,Chilies,Kharif,2015,9039,861.52,35.19,3300000,15345.27,23601.34
Vizianagaram,Rice,Summer,2018,48427,508.96,33.56,3300000,146548.83,406787.15
West Godavari,Cotton,Kharif,2018,7303,946.83,35.68,4300000,6970.81,46100.48
Vizianagaram,Groundnut,Rabi,2016,20053,792.4,28.2,3300000,38867.35,85787.15
East Godavari,Maize,Kharif,2021,32644,702.1,23.83,2100000,127744.91,129499.16
Kurnool,Cotton,Kharif,2018,36745,1028.81,35.48,4200000,26252.46,51728.46
Srikakulam,Cotton,Kharif,2017,46309,519.15,29.97,3000000,46637.57,41846.59
Sri Potti Sriramulu Nellore,Sugarcane,Summer,2014,21762,1094.86,24.04,3100000,1523749.88,891143.35
Prakasam,Cotton,Kharif,2018,24611,804.94,23.85,3300000,22410.03,30563.58
Guntur,Chilies,Kharif,2023,1422,848.26,24.55,2100000,2696.81,10708.27
Kurnool,Maize,Rabi,2016,32275,1087.55,34.02,4200000,106059.41,263594.94
Krishna,Maize,Kharif,2014,27597,1035.82,33.37,4200000,120646.47,249911.52
Srikakulam,Groundnut,Kharif,2017,12985,841.41,25.26,3000000,21403.93,75397.7
Anantapur,Groundnut,Kharif,2016,29707,977.87,35.55,3300000,43495.96,72805.27
Anantapur,Groundnut,Kharif,2018,4372,689.99,26.5,3300000,5652.8,71854.68
YSR Kadapa,Chilies,Rabi,2019,17083,792.64,34.69,3300000,40968.04,14558.9
Vizianagaram,Cotton,Rabi,2010,35710,355.86,29.82,3300000,24716.77,40806.27
Kurnool,Cotton,Summer,2022,26816,380.87,33.7,4200000,23499.71,38768.1
Visakhapatnam,Sugarcane,Kharif,2018,10950,1046.48,28.1,3600000,713144.99,914194.88
West Godavari,Chilies,Summer,2016,35247,353.7,27.55,4300000,69330.03,31754.44
Chittoor,Groundnut,Summer,2010,5626,452.46,35.46,2000000,6977.72,39179.56
Krishna,Rice,Kharif,2010,27408,1016.25,22.56,4200000,104531.59,377792.78
Anantapur,Sugarcane,Rabi,2014,11777,301.03,37.6,3300000,688774.14,539168.96
Prakasam,Rice,Rabi,2017,6147,554.16,32.37,3300000,21330.09,351509.08
Anantapur,Cotton,Kharif,2018,6443,825.63,28.92,3300000,4623.89,31357.52
Guntur,Sugarcane,Kharif,2021,1079,835.9,32.05,2100000,96539.68,480606.67
Sri Potti Sriramulu Nellore,Sugarcane,Rabi,2015,32282,999.44,23.96,3100000,2913556.58,723548.82
Anantapur,Maize,Kharif,2021,39345,755.33,30.22,3300000,181316.68,172347.35
Guntur,Cotton,Kharif,2022,13901,758.46,37.76,2100000,14349.73,27823.62
Kurnool,Cotton,Kharif,2019,3223,952.78,25.76,4200000,1980.55,60201.32
Kurnool,Chilies,Rabi,2021,36337,748.76,33.56,4200000,94141.52,19909.39
West Godavari,Sugarcane,Summer,2017,43732,847.64,28.96,4300000,2333073.71,1191451.26
YSR Kadapa,Cotton,Summer,2015,14768,1108.0,32.44,3300000,11215.07,29430.44
Srikakulam,Sugarcane,Kharif,2020,18507,661.31,25.28,3000000,1092575.51,576054.92
Anantapur,Chilies,Rabi,2015,17249,646.61,29.53,3300000,43892.07,19684.35
Prakasam,Chilies,Kharif,2013,36391,303.19,37.68,3300000,78711.84,16741.02
Anantapur,Maize,Rabi,2020,35171,852.08,25.12,3300000,148882.57,136817.6
YSR Kadapa,Sugarcane,Kharif,2014,8485,326.79,32.18,3300000,771222.16,664230.93
Prakasam,Cotton,Rabi,2023,45568,753.73,31.21,3300000,38913.46,47302.5
East Godavari,Cotton,Rabi,2011,30784,1023.81,31.04,2100000,26786.91,19361.08
Vizianagaram,Sugarcane,Summer,2012,46566,794.93,31.84,3300000,2369302.32,880852.91
Srikakulam,Sugarcane,Kharif,2012,25617,542.67,30.04,3000000,2179497.57,783358.44
East Godavari,Sugarcane,Summer,2023,38748,1007.55,22.27,2100000,3477391.06,367230.1
YSR Kadapa,Groundnut,Summer,2021,4878,542.75,36.4,3300000,9337.86,68020.26
Anantapur,Cotton,Rabi,2020,2949,959.73,35.23,3300000,1964.42,30774.13
YSR Kadapa,Chilies,Kharif,2014,20844,849.23,24.79,3300000,34832.38,13467.38
YSR Kadapa,Cotton,Rabi,2023,21881,453.0,28.61,3300000,16097.91,30397.24
Srikakulam,Groundnut,Rabi,2014,22614,1114.62,34.33,3000000,30058.28,56466.27
East Godavari,Sugarcane,Rabi,2015,24828,480.58,37.68,2100000,1535259.62,384798.19
Chittoor,Maize,Kharif,2014,10958,1190.63,37.22,2000000,46599.12,86376.8
Anantapur,Sugarcane,Kharif,2021,9697,306.58,36.39,3300000,803256.2,771152.97
East Godavari,Sugarcane,Rabi,2015,22624,537.14,24.53,2100000,1998700.6,430855.88
Chittoor,Groundnut,Kharif,2017,16493,479.87,36.63,2000000,18324.95,57430.98
Chittoor,Cotton,Rabi,2011,43801,312.59,36.06,2000000,30372.91,18620.99
Kurnool,Sugarcane,Kharif,2013,22199,959.13,28.03,4200000,1325515.13,1026483.23
West Godavari,Cotton,Kharif,2022,43354,924.08,28.31,4300000,31716.53,61508.67
Anantapur,Rice,Summer,2015,1256,1013.12,29.36,3300000,4196.42,274900.81
Chittoor,Chilies,Rabi,2021,35488,531.03,32.5,2000000,66256.3,11613.94
Kurnool,Cotton,Summer,2014,31493,699.9,26.17,4200000,32029.35,46849.66
East Godavari,Maize,Summer,2010,47009,893.2,22.37,2100000,180942.8,152265.23
Guntur,Chilies,Rabi,2018,24731,695.79,24.26,2100000,50993.12,13278.67
Anantapur,Maize,Rabi,2012,8076,927.59,29.04,3300000,37123.11,172328.14
Srikakulam,Sugarcane,Kharif,2011,2071,870.58,26.51,3000000,164548.33,778838.91
YSR Kadapa,Chilies,Rabi,2018,35390,403.18,34.23,3300000,74303.34,19929.65
Prakasam,Cotton,Summer,2016,3066,1002.94,23.71,3300000,2983.83,34419.62
Prakasam,Chilies,Summer,2014,26645,948.61,36.68,3300000,57260.57,22269.62
East Godavari,Sugarcane,Rabi,2021,42410,890.25,36.33,2100000,3636227.95,532441.91
Visakhapatnam,Groundnut,Summer,2015,34665,439.58,36.54,3600000,45844.09,57872.98
Visakhapatnam,Maize,Kharif,2021,30412,541.2,33.83,3600000,94789.85,253006.96
East Godavari,Sugarcane,Summer,2020,32835,653.86,23.71,2100000,2739091.08,452745.01
Chittoor,Groundnut,Kharif,2013,42041,551.94,29.01,2000000,58616.34,50072.53
West Godavari,Chilies,Summer,2010,39549,505.03,24.1,4300000,86268.29,23171.36
Anantapur,Chilies,Kharif,2013,47390,1024.82,37.8,3300000,108275.41,23379.73
Prakasam,Sugarcane,Kharif,2018,47052,874.41,27.33,3300000,2951188.01,828685.98
Prakasam,Cotton,Rabi,2010,44167,808.92,31.37,3300000,35443.06,39783.82
West Godavari,Chilies,Kharif,2019,27578,503.36,34.47,4300000,68225.54,31952.98
Chittoor,Cotton,Rabi,2012,10883,1126.27,36.73,2000000,10690.38,19928.97
Prakasam,Cotton,Summer,2014,43139,472.06,34.09,3300000,39674.57,27907.37
YSR Kadapa,Cotton,Summer,2016,23217,1015.46,32.79,3300000,21501.61,38319.84
Srikakulam,Rice,Summer,2018,11707,1170.01,29.46,3000000,50751.45,329043.75
Anantapur,Groundnut,Kharif,2015,41856,954.38,31.69,3300000,71686.74,73788.2
Sri Potti Sriramulu Nellore,Groundnut,Summer,2012,14140,1193.57,23.51,3100000,19168.56,76512.55
Prakasam,Chilies,Summer,2022,12093,885.95,36.14,3300000,18682.95,20304.65
East Godavari,Chilies,Rabi,2016,17500,495.71,30.7,2100000,33359.57,11283.14
Srikakulam,Cotton,Rabi,2023,39553,483.44,22.64,3000000,23807.93,42120.42
Prakasam,Rice,Summer,2013,7507,592.11,36.72,3300000,20217.24,414486.92
Vizianagaram,Cotton,Summer,2012,33586,306.42,29.83,3300000,34126.15,46956.96
YSR Kadapa,Rice,Kharif,2023,6830,913.53,35.9,3300000,26427.75,474938.55
Srikakulam,Cotton,Kharif,2016,31608,541.8,35.71,3000000,30620.95,27513.55
Kurnool,Maize,Summer,2020,38329,1033.66,35.05,4200000,166461.24,268042.6
Sri Potti Sriramulu Nellore,Maize,Rabi,2020,48287,623.26,22.98,3100000,183707.7,158450.04
Krishna,Sugarcane,Summer,2016,25511,731.96,25.95,4200000,1276995.68,1163820.28
East Godavari,Cotton,Kharif,2013,34427,1169.12,36.01,2100000,35074.29,27572.92
East Godavari,Chilies,Rabi,2021,19506,517.95,36.38,2100000,28968.73,9860.8
Anantapur,Groundnut,Rabi,2016,29395,949.13,29.33,3300000,47006.92,96169.36
West Godavari,Sugarcane,Kharif,2020,45303,979.61,29.04,4300000,2414311.71,1099454.36
Srikakulam,Chilies,Summer,2023,47770,498.9,24.8,3000000,83166.48,21960.65
Chittoor,Maize,Summer,2011,28126,750.9,37.49,2000000,91295.92,94133.78
East Godavari,Cotton,Summer,2010,30466,615.18,25.41,2100000,25158.34,29584.66
Srikakulam,Sugarcane,Kharif,2021,18970,994.72,25.05,3000000,1636298.41,760590.58
Srikakulam,Cotton,Rabi,2011,5682,860.23,32.57,3000000,4915.49,35598.02
Vizianagaram,Maize,Kharif,2013,49470,728.38,25.89,3300000,217373.72,226769.24
Guntur,Sugarcane,Summer,2017,11939,1001.43,37.02,2100000,1040783.79,522061.98
Guntur,Maize,Kharif,2012,9826,511.64,22.17,2100000,45186.05,133215.61
Krishna,Rice,Rabi,2019,24371,978.26,22.09,4200000,104027.79,410579.15
Kurnool,Maize,Kharif,2015,30946,1078.84,30.08,4200000,117574.41,288106.89
Krishna,Cotton,Summer,2015,25359,1090.76,29.81,4200000,24734.43,52718.9
Prakasam,Groundnut,Rabi,2022,20266,1005.31,24.61,3300000,33059.42,91810.78
Chittoor,Maize,Kharif,2018,39017,667.21,29.91,2000000,121946.02,104606.89
Prakasam,Chilies,Kharif,2018,20195,1183.63,28.59,3300000,29211.16,17031.25
Visakhapatnam,Groundnut,Rabi,2013,46413,641.63,36.25,3600000,58927.38,58804.71
Prakasam,Rice,Rabi,2018,28315,874.76,22.15,3300000,91868.99,441547.83
Anantapur,Sugarcane,Summer,2022,19268,444.97,37.62,3300000,1621938.82,680605.25
Prakasam,Sugarcane,Rabi,2015,10710,1182.4,31.99,3300000,858216.63,679172.09
Krishna,Groundnut,Summer,2011,42581,933.59,24.43,4200000,81322.82,107694.65
East Godavari,Sugarcane,Kharif,2019,46537,978.04,22.75,2100000,3373250.34,410343.48
YSR Kadapa,Maize,Summer,2023,15161,359.2,30.61,3300000,69658.43,236991.87
East Godavari,Groundnut,Kharif,2020,32821,987.08,25.76,2100000,42593.62,49419.14
Guntur,Cotton,Rabi,2015,10729,997.25,26.82,2100000,9508.01,31051.32
YSR Kadapa,Maize,Kharif,2011,49448,904.6,25.92,3300000,222257.04,140855.25
West Godavari,Maize,Rabi,2017,49915,562.72,32.4,4300000,241398.76,222692.22
Chittoor,Maize,Kharif,2013,27913,740.72,30.86,2000000,114090.71,106702.92
Chittoor,Cotton,Kharif,2014,23184,399.39,23.25,2000000,20205.38,26225.89
Anantapur,Rice,Kharif,2017,24279,724.43,30.42,3300000,69836.18,313194.28
Krishna,Chilies,Kharif,2023,27570,519.44,34.66,4200000,62972.94,22317.58
Guntur,Sugarcane,Summer,2020,44030,614.19,23.3,2100000,3707911.26,603728.91
Vizianagaram,Groundnut,Kharif,2017,36133,446.34,36.24,3300000,57247.82,58092.25
Visakhapatnam,Rice,Summer,2021,14195,507.05,31.25,3600000,38225.95,475821.65
Chittoor,Groundnut,Rabi,2023,44805,368.91,37.21,2000000,59661.07,51669.58
East Godavari,Sugarcane,Rabi,2021,44998,1127.91,24.37,2100000,3103584.75,374368.49
Prakasam,Cotton,Summer,2015,18238,777.37,37.9,3300000,16141.32,42304.13
Prakasam,Maize,Rabi,2013,16552,657.07,32.31,3300000,59070.53,197810.03
West Godavari,Maize,Rabi,2010,3728,781.53,31.08,4300000,17956.65,215272.11
Guntur,Cotton,Kharif,2021,49245,865.46,30.24,2100000,36365.42,21373.78
Krishna,Rice,Kharif,2016,24557,1129.69,22.38,4200000,62373.71,580899.73
Krishna,Rice,Kharif,2017,5938,460.82,37.03,4200000,24449.05,403918.41
Kurnool,Groundnut,Summer,2018,32202,566.0,32.3,4200000,52482.85,97351.5
Sri Potti Sriramulu Nellore,Cotton,Summer,2011,1131,1178.21,23.47,3100000,1068.73,39580.95
Chittoor,Rice,Rabi,2010,26692,634.07,22.34,2000000,84951.79,178186.24
Krishna,Cotton,Kharif,2013,20977,320.31,22.81,4200000,11924.64,61011.2
West Godavari,Sugarcane,Summer,2022,34061,432.88,31.75,4300000,1774497.13,844901.86
East Godavari,Maize,Summer,2014,28264,323.7,31.82,2100000,86723.05,107434.37
Guntur,Maize,Kharif,2019,26575,1190.93,29.99,2100000,125762.31,132959.51
Visakhapatnam,Maize,Summer,2021,15727,550.98,26.91,3600000,55413.19,153852.15
Kurnool,Cotton,Kharif,2010,11488,1131.19,30.51,4200000,11935.93,52051.81
West Godavari,Cotton,Rabi,2014,21069,1196.3,30.26,4300000,19468.31,61972.5
Srikakulam,Groundnut,Rabi,2015,25400,839.86,22.31,3000000,40412.4,58461.8
Anantapur,Maize,Rabi,2012,25146,329.88,26.52,3300000,129770.62,173800.34
Visakhapatnam,Groundnut,Kharif,2021,7846,373.43,22.85,3600000,10471.89,69309.63
Srikakulam,Maize,Summer,2016,41352,733.43,36.4,3000000,132222.08,205970.72
Vizianagaram,Groundnut,Rabi,2023,24694,665.55,33.6,3300000,42314.3,60543.48
Prakasam,Groundnut,Rabi,2015,22740,845.56,37.94,3300000,29568.25,68814.22
Anantapur,Sugarcane,Rabi,2013,31996,694.96,26.83,3300000,2859276.18,805672.08
Chittoor,Groundnut,Summer,2012,33125,1140.67,36.06,2000000,64238.07,43327.52
East Godavari,Cotton,Summer,2014,42409,781.27,31.65,2100000,42607.22,17762.4
Anantapur,Groundnut,Kharif,2012,45200,924.35,29.25,3300000,85892.91,96584.69
Sri Potti Sriramulu Nellore,Maize,Rabi,2019,23970,1106.84,25.56,3100000,102533.39,160662.2
Srikakulam,Groundnut,Summer,2018,11895,432.18,33.81,3000000,19899.23,66717.35
Chittoor,Rice,Kharif,2018,39071,506.76,36.47,2000000,103456.76,183456.35
YSR Kadapa,Chilies,Rabi,2015,23258,396.59,25.76,3300000,53857.62,23194.8
Sri Potti Sriramulu Nellore,Maize,Summer,2022,24354,425.67,24.81,3100000,80001.72,155620.02
Prakasam,Rice,Summer,2020,31641,761.33,33.14,3300000,133356.84,268579.12
Sri Potti Sriramulu Nellore,Maize,Kharif,2015,9444,589.06,37.63,3100000,48236.9,158329.68
Kurnool,Cotton,Rabi,2021,10611,680.86,34.0,4200000,7023.86,62531.35
Kurnool,Chilies,Rabi,2023,11528,1184.24,26.55,4200000,17218.65,18958.59
Vizianagaram,Chilies,Summer,2013,1999,441.03,28.72,3300000,3959.36,13560.39
Guntur,Cotton,Rabi,2013,4760,786.73,28.15,2100000,4474.13,25299.18
Visakhapatnam,Chilies,Kharif,2011,37884,388.98,35.63,3600000,88071.52,19083.0
Visakhapatnam,Cotton,Summer,2019,38179,586.65,34.34,3600000,34150.08,48833.38
YSR Kadapa,Rice,Summer,2013,22941,774.77,31.42,3300000,95743.38,433066.07
YSR Kadapa,Sugarcane,Kharif,2017,27022,1151.97,26.4,3300000,1522676.48,613663.59
Chittoor,Maize,Summer,2022,44130,652.11,37.01,2000000,192612.03,119524.26
Prakasam,Cotton,Rabi,2019,44881,358.42,32.45,3300000,38181.44,27149.27
Krishna,Maize,Rabi,2011,37451,649.35,37.53,4200000,118653.61,232603.3
Vizianagaram,Rice,Summer,2018,27521,431.17,31.28,3300000,91377.89,428946.29
Kurnool,Sugarcane,Kharif,2023,48750,506.99,35.14,4200000,4134304.6,915995.77
Chittoor,Rice,Kharif,2010,30639,856.28,35.01,2000000,137593.12,176513.58
Krishna,Chilies,Rabi,2022,35621,360.68,27.4,4200000,78313.35,17704.54
Visakhapatnam,Maize,Kharif,2011,32449,718.25,37.42,3600000,162655.76,251561.09
Guntur,Sugarcane,Summer,2011,14079,848.52,22.35,2100000,767954.09,598050.13
Sri Potti Sriramulu Nellore,Chilies,Summer,2020,7895,679.67,34.3,3100000,20290.72,16122.55
Kurnool,Sugarcane,Rabi,2022,28979,317.21,37.45,4200000,1460752.36,768533.33
Chittoor,Chilies,Rabi,2023,46703,1186.97,27.42,2000000,94933.71,14850.31
Anantapur,Rice,Rabi,2015,13552,630.4,32.37,3300000,41484.26,390094.54
Krishna,Cotton,Kharif,2023,28394,1000.72,31.0,4200000,26993.5,47613.66
Sri Potti Sriramulu Nellore,Maize,Summer,2016,49821,593.08,34.18,3100000,165510.58,204464.44
Kurnool,Groundnut,Summer,2022,33276,727.52,35.86,4200000,35285.11,77129.52
